,sentence,start,end,concept,docId
0,"ROME (AP) — Fiat Chrysler Automobile announced Saturday that CEO Sergio Marchionne's health had suddenly deteriorated following surgery and that its board of directors had chosen Jeep executive Mike Manley to replace him. Marchionne, a 66-year-old Italian-Canadian, joined Fiat in 2004 and led the Turin-based company's merger with bankrupt U.S. carmaker Chrysler. Manley, 54, had been heading the Jeep brand since June 2009 and the Ram brand from October 2015. The announcement, at the end of an urgently convened board meeting, marked the end of the Marchionne era, which included the turnaround of failing Fiat, the takeover of bankrupt U.S. automaker Chrysler and the spinoffs of the heavy machinery and truck maker CNH and supercar maker Ferrari. Fiat Chrysler said in a statement that due to his deteriorating health Marchionne ""will be unable to return to work."" Marchionne, 66, had already announced he would step down in early 2019, so the board's decision, to be confirmed at an upcoming shareholders' meeting, will ""accelerate"" the CEO transition process, the statement said. The England-born Manley had been one of Marchionne's closest collaborators at the group, and in a previous role had been responsible for product planning and all sales activities outside of North America. Marchionne was reported to have had surgery for a shoulder problem about three weeks ago in Switzerland. Fiat is considered a close-knit family, and FCA chairman John Elkann said he was ""profoundly saddened to learn of Sergio's state of health. It was a situation that was unthinkable until a few hours ago, and one that leaves us all with a sense of injustice."" Elkann didn't give details of Marchionne's health problems, adding that his ""first thoughts go to Sergio and his family."" He asked everyone to respect Marchionne's ""privacy and that of all those who are dear to him."" Elkann is a grandson of the late Gianni Agnelli, the longtime Fiat dynasty chieftain. The boards of Ferrari and CNH Industrial, which makes heavy machinery and trucks were called urgently to meet on Saturday in Turin, Fiat's headquarters. Ferrari announced that Louis Camilleri, an Egyptian-board Maltese and longtime executive at Philip Morris International, the tobacco company, was chosen to be replace Marchionne as CEO of the sports car maker. Known for sleeping only briefly each night, Marchionne, who is also a lawyer, was holding multiple leadership roles in the companies, notably as CEO of FCA — Fiat Chrysler Automobiles, as well as CEO and chairman of Ferrrari. ___ Milan-based AP business writer Colleen Barry contributed.",65,81,Auto CEO,1
69,"ROME (AP) — The boards of Fiat Chrysler, Ferrari and CNH Industrial have been called to meet in Italy in light of CEO Sergio Marchionne's surgery. The three boards were summoned to separate meetings in Turin on Saturday amid the prolonged convalescence of Marchionne, who had shoulder surgery three weeks ago in Switzerland. Marchionne, 66, has long said he would step down in 2019 as CEO of the FCA automobile manufacturer. Statements from the boards were expected later on Saturday. The Italian-Canadian Marchionne has said his successor as CEO would come from within Fiat Chrysler Automobiles. CEO of Fiat since 2004, Marchionne is also chairman of Ferrari, the luxury sports car brand. During his tenure, Marchionne oversaw Fiat's merger with bankrupt U.S. carmaker Chrysler. CNH manufactures farm equipment, trucks, buses and other vehicles.",118,134,Auto CEO,2
90,"BALOCCO, Italy (AP) — Fiat Chrysler CEO Sergio Marchionne is outlining his business plan for the automaker's next five years in his last big presentation to investors before retiring next year. The presentation Friday of the 2018-2022 business plan marks Marchionne's grand finale, 14 years to the day after he was named Fiat CEO. During that time he has merged Fiat with U.S. carmaker Chrysler and spun off the industrial vehicle business and sports carmaker Ferrari. Markets will be watching for Fiat's plans in Italy, where Marchionne has focused production on the premium Maserati and Alfa Romeo brands; the United States, where Fiat Chrysler has led the strategy of dumping passenger cars for higher-margin trucks and crossovers; and China. Marchionne has said a successor would come from within the company.",40,56,Auto CEO,3
96,"MILAN (AP) — Fiat Chrysler Automobiles has announced it will spin off the Magneti Marelli components business as part of its five-year plan to be announced in June. FCA CEO Sergio Marchionne said in a statement Thursday that the move would allow the Italian-American automotive company to focus on its core business while giving the components business ""the operational flexibility"" necessary for growth in the coming years. Under the spin-off, shares will be distributed to FCA investors. The separation is expected to be completed by early 2019, with shares of Magneti Marelli listed on the Milan Stock Exchange. Marchionne has promised investors a final business plan before stepping down early next year. During his tenure, he has spun off the CNH industrial group as well as Ferrari.",173,189,Auto CEO,4
111,"DETROIT (AP) — Fiat Chrysler is moving production of heavy-duty trucks from Mexico to Michigan and paying bonuses to U.S. workers in response to the passage of U.S. tax reform late last year. The automaker will invest $1 billion in its Warren Truck Assembly Plant to make the Ram Heavy Duty Truck starting in 2020. That truck is currently made in Saltillo, Mexico, where workers will continue to make commercial vehicles. FCA says the Warren plant will add 2,500 new jobs. The company also plans to pay $2,000 bonuses this spring to about 60,000 hourly and salaried U.S. employees. Senior executives won't get the bonus. FCA CEO Sergio Marchionne says the company should adjust its manufacturing footprint to reflect ""improvement in the U.S. business environment."" He says employees should also share in the tax savings.",629,645,Auto CEO,5
139,"MILAN (AP) — Shares in sportscar Ferrari tanked Wednesday after the new CEO told analysts that an annual revenue target set by the late former chief executive, Sergio Marchionne, was ""aspirational."" Louis Camilleri, who is also chairman at long-time Ferrari sponsor Philip Morris International, had a difficult inaugural analyst call. Shares dropped 8 percent on his comments, from 113 euros to 104 euros ($121.30) in the last 20 minutes of Milan trading despite strong quarterly results. Asked about Marchionne's target to reach 2 billion euros ($2.5 billion) in revenue by 2022, which will be filled out in detail in a business plan presentation next month, Camilleri said the goals had been reviewed by the board and ""were aspirational."" ""Clearly, there were plans behind them. In the capital markets day we will cross the T's and dot the I's, and tell you how we think we will get there. But we will have to disclose potential risk to that and also significant opportunities that we see going forward,"" said Camilleri. Camilleri later sought to clarify his comments, saying he did not mean that the targets were too ambitious, adding that the plans will be outlined in greater detail at the investor day. Ferrari stock has been the hardest hit of the companies Marchionne led since he was replaced on July 21 due to serious complications from surgery. He was also replaced as CEO of Fiat Chrysler Automobiles and CNH Industrial chairman. Marchionne, 66, died four days later. The new business plan is expected to outline Ferrari's decision to start making SUVs. Marchionne also had discussed repositioning the brand as a luxury goods company beyond cars. Earlier, Ferrari confirmed its 2018 earnings forecasts after posting an 18-percent rise in net income for the three months through June, to 160 million euros ($187 million). Sales of 12-cylinder models boosted volumes by 5 percent to 2,436 vehicles. Europe and North America led with 7-percent increases, while sales growth in greater China more than offset a decrease in the rest of Asia. Ferrari confirmed its 2018 outlook for shipments of more than 9,000 units with operating profit above 1.1 billion euros on more than 3.4 billion euros in revenues. Camilleri, 63, has been on the Ferrari board since 2015 and is chairman at Philip Morris International. He was Philip Morris chairman and CEO from 2008 to 2013. Camilleri told analysts that he and Marchionne ""shared ambitions for the company,"" but that the two had different management styles and that he would be focused entirely on Ferrari, while Marchionne was deeply engaged in two other companies. The new CEO said one of his chief tasks will be to protect Ferrari's considerable brand equity. ""I think my record as CEO speaks for itself in terms of my ability to manage complex and highly regulated industries,"" Camilleri said. ""I think I am a team builder. And Sergio had a lot of other things on his plate. I have a singular focus on Ferrari and will be her permanently. I think that will make a difference.""",160,176,Auto CEO,6
173,"BALOCCO, Italy (AP) — Fiat Chrysler CEO Sergio Marchionne is outlining his business plan for the automaker's next five years in his last big presentation to investors before retiring next year. The presentation Friday of the 2018-2022 business plan marks Marchionne's grand finale, 14 years to the day after he was named Fiat CEO. During that time he has merged Fiat with U.S. carmaker Chrysler and spun off the industrial vehicle business and sports carmaker Ferrari. Markets will be watching for Fiat's plans in Italy, where Marchionne has focused production on the premium Maserati and Alfa Romeo brands; the United States, where Fiat Chrysler has led the strategy of dumping passenger cars for higher-margin trucks and crossovers; and China. Marchionne has said a successor would come from within the company.",40,56,Auto CEO,3
229,"Here are AP Business News' latest coverage plans, top stories and promotable content. All times EDT. For up-to-the minute information on AP's coverage, visit Coverage Plan at newsroom.ap.org. New & Developing: FISHY BUSINESS, TRUMP-SCOTLAND-RESORT EXPANSION, EARNS-MATTEL, FACEBOOK-PRIVACY SCANDAL AFTERMATH TOP STORIES: TRUMP-TRADE — President Donald Trump and European Union leaders announce they have agreed to work toward ""zero tariffs"" and ""zero subsidies"" on non-automobile goods and would work to resolve U.S. tariffs on steel and aluminum imports that have roiled European markets. By Ken Thomas, Paul Wiseman and Lisa Mascaro. SENT: 450 words, photos, video. With: TRUMP-TRADE-EUROPE — Heading into a meeting with U.S. President Donald Trump, top European Union officials warn they are ready to put tariffs on $20 billion of American goods if he puts duties on car imports. By Jari Tanner. SENT: 500 words, photos. ITALY-OBIT-MARCHIONNE — Sergio Marchionne, a charismatic and demanding leader who engineered two long-shot corporate turnarounds to save both Fiat and Chrysler from near-certain failure, dies. He was 66. By Colleen Barry and Tom Krisher. SENT: 1,300 words, photos. With: ITALY-OBIT-MARCHIONNE-CAREER GLANCE — Sergio Marchionne, the founding CEO of Fiat Chrysler Automobiles who died Wednesday, was widely recognized as an industry leader. Here's a look at some of his biggest accomplishments. SENT: 270 words, photos. — ITALY-EARNS-FIAT CHRYSLER — Fiat Chrysler Automobiles has lowered its full-year targets after second-quarter profits sank by 35 percent, but confirmed the carmaker had eliminated its net industrial debt. By Colleen Barry. SENT: 340 words. FACEBOOK-PRIVACY SCANDAL AFTERMATH — Facebook's user base and revenue grew more slowly than expected in the second quarter as the company grappled with privacy issues, sending its stock tumbling after hours. SENT: 145 words. UPCOMNG: 400 words by 6 p.m. Will incorporate EARNS-FACEBOOK. TRUMP-SCOTLAND-RESORT EXPANSION — President Donald Trump's company is planning a major expansion of one of its golf resorts in Britain that would include the construction and sale of 500 homes fetching as much as several million each, raising possible conflicts of interest issues as his administration faces tricky trade negotiations with the country. By Bernard Condon. UPCOMING: 650 words at 5:30 p.m. TARIFF-EARNINGS IMPACT — An escalating trade war and steep tariffs on steel and aluminum is putting pressure on earnings for automakers, prompting General Motors to slash its outlook while also weighing down shares of Ford Motor Co. and auto parts companies. By Chris Rugaber and Damian J. Troise. SENT: 750 words. FISHY BUSINESS  — A national seafood distributor is defending its reputation amid plummeting sales after The Associated Press found it was not living up to a guarantee that all catch was local, wild, sustainable and traceable.  By Robin McDowell, Margie Mason and Martha Mendoza. SENT: 1,000 words, EUROPE-KITKAT BATTLE — European Union judges have ruled that the four-fingered shape of the KitKat chocolate bar is not distinctive enough to be trademarked. By Mark Lewis. SENT: 500 words, photos. MARKETS & ECONOMY: FINANCIAL MARKETS — Technology companies lead a broad rally in U.S. stocks that gave the market its third consecutive gain and nudged the Nasdaq composite to an all-time high. By Alex Veiga. SENT: 900 words, photos. NEW HOME SALES — Sales of new U.S. homes fell 5.3 percent in June, despite a tight housing market where buyers far outnumber sellers. By Josh Boak. SENT: 310 words. EARNINGS: EARNS-COCA-COLA — Coca-Cola thinks it may have found a new drink that will give soda sales a shot of caffeine: Coke Plus Coffee. SENT: 480 words, photos. EARNS-GM — General Motors, facing rising commodity costs in a trade showdown with Europe and elsewhere, cut its outlook for the year. SENT: 330 words. EARNS-BOEING —The strong air-travel business continues to give a lift to Boeing, as the aircraft maker reports that second-quarter profit rose 26 percent to $2.2 billion. By David Koenig. SENT: 460 words, photos. EARNS-FORD MOTOR —  Dinged by slumping China sales and a fire at a U.S. parts factory, Ford Motor Co.'s second-quarter net profit fell 48 percent from a year ago. SENT: 150 words. UPCOMING: 300 words by 6 p.m. EARNS-VISA — Payment processing giant Visa says its fiscal third-quarter profits rose an adjusted 36 percent from a year ago, helped by an 11 percent increase in the amount people spent on its namesake network. SENT: 130 words. UPCOMING: 250 words by 6 p.m.. EARNS-MATTEL — Mattel says it will cut 2,200 jobs as the maker of Barbie dolls and Hot Wheels cars tries to save money. SENT: 200 words. EARNS-DEUTSCHE BANK — Germany's struggling Deutsche Bank says that its net profit fell less than expected in the second quarter as it was making quick progress in cutting costs and reshaping its business model after three straight years of losses. By David McHugh. SENT: 430 words, photos. UK-EARNS-GSK — Drug maker GlaxoSmithKline says second-quarter revenue was 7.3 billion pounds ($9.6 billion), up 4 percent when discounting currency shifts, amid a promising performance of a new shingles treatment. SENT: 140 words. INDUSTRY: MARIJUANA-GOING PUBLIC IN CANADA — US-based marijuana businesses are lining up to go public in Canada to tap into financing from institutional investors and foreign capital they can't get in America. By Gillian Flaccus. SENT: 950 words, photos. ON THE MONEY-EXPERIENCES — Hotel and home-sharing companies don't just want to sell you a room anymore. They also want to sell you an experience. By Dee-Ann Durbin. SENT: 770 words. SMALLBIZ-SMALL TALK-CUSTOMER SERVICE DISASTERS — Misunderstandings, mistakes and breakdowns can happen at any company, but small business owners know they might not be able to survive negative reviews on social media. So when they have customer service disasters they need to try to not just mollify customers but please or even thrill them. So experts suggest, when angry customers call, owners should listen, not be defensive and genuinely try to help. By Joyce M. Rosenberg. SENT: 960 words. TRUMP-CORPORATE OFFENDERS — While Donald Trump has positioned himself as a tough, ""law and order"" president, he has mostly excluded one group of offenders from his sights: those of the corporate class, according to a report by Washington-based watchdog Public Citizen. By Tami Abdollah. SENT: 700 words, photos. CHINA-US-TAIWAN — The Trump administration, several U.S. senators, and Taiwanese business leaders urge the three biggest U.S. airlines to stand up against China's demand about how they describe Taiwan on their websites. By David Koenig. SENT: 700 words, photos. SMALLBIZ-SMALL TALK-CUSTOMER SERVICE DISASTERS — Misunderstandings, mistakes and breakdowns can happen at any company, but small business owners know they might not be able to survive negative reviews on social media. So when they have customer service disasters they need to try to not just mollify customers but please or even thrill them. By Joyce M. Rosenberg. SENT: 960 words, photos. SEXUAL MISCONDUCT-LIONS GATE — The former executive vice president of legal affairs at Lions Gate, the film studio behind ""Mad Men"" and ""The Hunger Games,"" is accusing her longtime boss of sexual misconduct and says the company disparaged her when she raised the allegations and left. Wendy Jaffe tells AP in her first on-camera interview that she was compelled to go public because of the #MeToo and #TimesUp movements. By Michael R. Sisak. UPCOMING: 700 words, photos. TECHNOLOGY & MEDIA: WAYMO-WALMART — Google spinoff Waymo says it's launching a pilot program with Walmart later this week that will allow customers to use its self-driving car service to pick up groceries at Walmart stores. SENT: 160 words, photos. BRAZIL-FACEBOOK — Facebook has removed a network of pages and profiles in Brazil that the social media company says were used to spread misinformation and foment divisiveness. SENT: 130 words, photos. PERSONAL FINANCE: DIVORCE-ALIMONY CHANGES — Divorce can be simple or messy. For some, it's a little more urgent. The $1.5-trillion tax overhaul ",948,964,Auto CEO,7
242,"DETROIT (AP) — Fiat Chrysler is moving production of heavy-duty trucks from Mexico to Michigan and paying bonuses to U.S. workers in response to the passage of U.S. tax reform late last year. The automaker will invest $1 billion in its Warren Truck Assembly Plant to make the Ram Heavy Duty Truck starting in 2020. That truck is currently made in Saltillo, Mexico, where workers will continue to make commercial vehicles. FCA says the Warren plant will add 2,500 new jobs. The company also plans to pay $2,000 bonuses this spring to about 60,000 hourly and salaried U.S. employees. Senior executives won't get the bonus. FCA CEO Sergio Marchionne says the company should adjust its manufacturing footprint to reflect ""improvement in the U.S. business environment."" He says employees should also share in the tax savings.",629,645,Auto CEO,5
268,"FINANCIAL MARKETS Stocks move into positive territory NEW YORK (AP) — Wall Street started the day in negative territory but is making gains this afternoon. At 1:01 p.m., the S&P 500 was up 5 points, at 2,807. The Dow Jones Industrial Average gained 18 points, to 25,077. And the Nasdaq was up 15 points, to 7,835. HOME SALES US existing-home sales fell 0.6 percent in June WASHINGTON (AP) — U.S. sales of existing homes fell 0.6 percent in June, the third straight monthly decline as higher prices and a relative lack of inventory has sidelined many would-be buyers. The National Association of Realtors says homes sold last month at a seasonally adjusted annual pace of 5.38 million in May. Over the past year, home sales have tumbled 2.2 percent. Many Americans searching for homes face prices that are climbing at roughly double the pace of wages. Sales of entry-level homes worth less than $250,000 have fallen amid a constrained inventory. Still, the number of homes for sale rose in June on annualized basis for the first time since the middle of 2015. The median sales price in June increased 5.2 percent from a year ago to $276,900. ITALY-FIAT CHRYSLER Fiat Chrysler is shaken without visionary CEO behind wheel MILAN (AP) — Fiat Chrysler shares have been volatile today as investors express worry about the exit of ailing CEO Sergio Marchionne, whose driven and creative management style has been the company's fortune. Shares in the Italian-American carmaker closed down 1.5 percent after a harder 4 percent opening tumble in the first trading since Marchionne's grave health condition was disclosed over the weekend. Trading was volatile, especially after news that the head of the big European operations, who had been considered one of Marchionne's potential successors, was quitting. Ferrari, where Marchionne was also replaced at the helm, closed down about 5 percent. The Fiat Chrysler board on Saturday named long-time Jeep executive Mike Manley as CEO, unexpectedly accelerating a transition that was planned for early next year. The company said the 66-year-old Marchionne suffered complications from shoulder surgery in Zurich, Switzerland last month that worsened in recent days, and that he could not resume his duties. TESLA-STOCK Tesla stock skids on report it asked suppliers for refunds NEW YORK (AP) — Shares of Tesla tumbled today on reports that the company asked suppliers for refunds to help it turn a profit. A memo provided to The Wall Street Journal shows the electric car maker asked a supplier to return what it calls a meaningful amount of money on its payments since 2016. The memo said all suppliers were being asked to help the company become profitable. Tesla declined to comment on the specific memo, but confirmed that it is seeking price reductions from suppliers for projects, some of which date back that far. The request raised more questions about Tesla's cash position. The 15-year-old company has reported only two quarterly profits and has never made a profit for a full year. It is spending about $1 billion a quarter as it ramps up manufacturing of the Model 3 sedan and had $2.7 billion in cash on hand at the end of the first quarter. INDIA-IRAN OIL SANCTIONS India cuts oil imports from Iran by a quarter in past year NEW DELHI (AP) — Facing the threat of U.S. oil sanctions on Iran, India continued to rely on Iraq as its top oil supplier in the April-June quarter, followed by Iran and Saudi Arabia. India's petroleum minister says the country bought 7.27 million metric tons of oil from Iraq, 5.67 million tons from Iran and 5.22 million tons from Saudi Arabia during the three-month period. India's state-run refineries bought 9.8 million tons of Iranian oil in financial 2017-18 compared to 13.04 million tons a year earlier, a nearly 25 percent decline. India's financial year runs from April to March. India imported 29.66 million tons of Iraqi oil in 2017-18 compared to 24.79 tons a year earlier. The petroleum minister didn't say what steps India is taking in response to the U.S. sanctions on Iran, which are to come into force on Nov. 4. PAPA JOHN'S-POISON PILL Papa John's attempts to ward off founder with poison pill LOUISVILLE, Ky. (AP) — Papa John's is attempting to ward off its disgraced founder by adopting a poison-pill plan. Founder John Schnatter (SHNAH'-tur) resigned as chairman this month after his use of a racial slur during a media training session was revealed. He stepped down late last year as CEO after becoming enmeshed in the national anthem issue involving players, saying it was hurting sales. Schnatter, who later said his resignation was a mistake, is still the pizza chain's biggest shareholder, holding just short of 30 percent of all stock. The company, based in Louisville, Kentucky, said late Sunday it will put its shareholder rights plan in place for a year. The plan would be activated if anyone acquires 15 percent or more of the company's outstanding shares without board approval. DAILY NEWS-LAYOFFS NY Daily News slashes newsroom staffing in half NEW YORK (AP) — The New York tabloid Daily News will cut half of its newsroom staff, saying it wants to focus more on digital news. The paper was sold to tronc Inc. last year for $1, with the owner of the Chicago Tribune assuming liabilities and debt. In an email sent to staff today, tronc said staff at the Daily News will focus on breaking news involving ""crime, civil justice and public responsibility."" Revenue and print circulation have been sliding at the newspaper for years, even as it provided critical coverage of health issues in public housing and for first responders after the Sept. 11 attacks. Revenue slid 22 percent between 2014 and 2016, and the paper had already been letting people go. LIFEPOINT HEALTH-BUYOUT Apollo to spend $5.6B on rural hospital chain LifePoint UNDATED (AP) — Private equity firm Apollo Global Management will spend about $5.6 billion to buy the rural hospital chain LifePoint and combine it with health system operator RCCH HealthCare Partners. LifePoint has operations in 22 states, including community hospitals and regional health systems. The combined, privately held company will operate under the LifePoint name and be led by the hospital chain's chairman and CEO, William F. Carpenter III. It will run 84 hospitals in 30 states as well as physician practices, outpatient centers and regional health systems. It also will be based in Brentwood, Tennessee, where both firms are currently based. The deal still needs approval from LifePoint shareholders and regulators. The companies expect to complete it over the next several months. Today's announcement comes more than a month after another private equity firm, KKR, said it would spend about $9.9 billion on physician services provider and surgery center operator Envision Healthcare Corp. DETROIT AUTO SHOW Detroit auto show switching to June starting in 2020 DETROIT (AP) — Organizers of the North American International Auto Show say that starting in 2020 the annual Detroit event will take place in June instead of January. Organizers say the new schedule will enable automakers, industry suppliers and others to ""deliver dynamic exhibits and experiential opportunities outside of the show's four walls"" at downtown's Cobo Center. The show will be held during more-favorable spring weather, rather than in winter. Organizers say the change also will help cut costs, since exhibitors won't be setting up during the Thanksgiving to New Year's Day holiday period. The show's Executive Director Rod Alberts says that ""Detroit will continue to be a global stage for some of the world's most significant and iconic vehicle reveals.""",1335,1351,Auto CEO,8
